station,date,flow_rate,water_level,temperature,pollution_index
RiverMouth_A,2024-01-03,523.4,3.21,8.2,22.1
RiverMouth_A,2024-01-10,611.2,3.78,7.9,25.4
RiverMouth_A,2024-01-17,489.0,3.05,8.6,19.8
RiverMouth_A,2024-02-07,745.8,4.62,6.1,31.0
RiverMouth_A,2024-02-14,910.3,5.10,5.8,38.2
RiverMouth_A,2024-02-21,1023.7,5.89,5.5,44.7
RiverMouth_A,2024-03-06,782.1,4.83,7.1,29.5
RiverMouth_A,2024-03-13,634.9,3.97,9.4,26.2
RiverMouth_A,2024-04-01,412.6,2.88,12.3,18.4
RiverMouth_A,2024-04-15,388.4,2.71,14.1,17.9
RiverMouth_A,2024-05-01,299.2,2.30,17.8,15.1
RiverMouth_A,2024-05-15,276.5,2.14,19.4,14.8
RiverMouth_A,2024-06-01,241.8,1.99,22.1,13.2
RiverMouth_A,2024-06-15,217.3,1.87,23.6,12.9
RiverMouth_A,2024-07-01,198.4,1.75,25.1,11.7
RiverMouth_A,2024-07-15,184.2,1.66,26.3,10.5
RiverMouth_A,2024-08-01,171.9,1.58,27.4,10.1
RiverMouth_A,2024-09-01,224.5,1.91,24.2,13.4
RiverMouth_A,2024-10-01,356.8,2.54,18.7,16.6
RiverMouth_A,2024-11-01,498.1,3.12,12.1,21.3
RiverMouth_A,2024-12-01,601.4,3.72,7.3,24.9
MillCreek_B,2024-01-05,88.3,1.44,6.9,41.2
MillCreek_B,2024-01-19,101.7,1.62,6.4,48.7
MillCreek_B,2024-02-02,114.5,1.78,5.7,55.3
MillCreek_B,2024-02-16,142.3,1.99,5.1,63.8
MillCreek_B,2024-02-23,158.9,2.14,4.8,71.4
MillCreek_B,2024-03-01,131.2,1.91,6.2,58.9
MillCreek_B,2024-03-15,109.6,1.71,8.8,49.1
MillCreek_B,2024-04-05,78.4,1.32,13.1,37.6
MillCreek_B,2024-04-19,71.2,1.24,15.4,34.2
MillCreek_B,2024-05-03,58.9,1.11,18.8,28.5
MillCreek_B,2024-05-17,53.4,1.05,20.9,25.8
MillCreek_B,2024-06-07,44.8,0.97,24.3,22.4
MillCreek_B,2024-07-05,31.2,0.83,28.1,18.9
MillCreek_B,2024-08-02,27.6,0.79,29.4,17.4
MillCreek_B,2024-09-06,39.5,0.91,25.6,20.2
MillCreek_B,2024-10-04,61.3,1.17,17.2,31.4
MillCreek_B,2024-11-01,79.8,1.35,11.4,39.1
MillCreek_B,2024-12-06,96.4,1.53,7.1,44.5
MillCreek_B,2024-12-27,168.2,2.21,4.3,74.8
GlacierFork_C,2024-01-08,1243.6,6.14,2.1,8.4
GlacierFork_C,2024-02-12,1189.4,5.98,1.8,7.9
GlacierFork_C,2024-03-18,1401.2,6.55,3.4,9.1
GlacierFork_C,2024-04-09,1887.4,7.82,5.2,11.3
GlacierFork_C,2024-04-23,2314.9,9.04,6.8,14.7
GlacierFork_C,2024-05-14,2801.3,10.23,8.1,17.2
GlacierFork_C,2024-05-28,3102.8,11.44,9.3,19.8
GlacierFork_C,2024-06-11,2988.4,11.01,10.6,18.4
GlacierFork_C,2024-06-25,2674.5,10.12,11.8,16.1
GlacierFork_C,2024-07-09,2103.7,8.77,13.4,13.9
GlacierFork_C,2024-07-23,1786.2,7.61,14.2,11.7
GlacierFork_C,2024-08-06,1512.8,6.88,13.9,10.4
GlacierFork_C,2024-09-03,1388.1,6.41,11.2,9.3
GlacierFork_C,2024-10-01,1298.4,6.19,7.6,8.8
GlacierFork_C,2024-11-05,1224.7,6.03,4.1,8.1
GlacierFork_C,2024-12-03,1201.3,5.96,2.3,7.7
Estuary_D,2024-01-11,334.7,2.44,9.8,52.3
Estuary_D,2024-01-25,378.2,2.68,9.1,57.8
Estuary_D,2024-02-08,412.9,2.89,8.4,62.4
Estuary_D,2024-02-22,489.1,3.18,7.8,68.9
Estuary_D,2024-03-07,521.4,3.37,8.9,71.2
Estuary_D,2024-03-21,498.7,3.24,10.4,65.7
Estuary_D,2024-04-04,441.2,3.01,12.8,58.4
Estuary_D,2024-04-18,389.6,2.74,15.1,51.9
Estuary_D,2024-05-02,312.4,2.38,18.4,43.6
Estuary_D,2024-05-30,278.1,2.19,21.7,38.2
Estuary_D,2024-06-13,244.8,2.01,24.6,33.9
Estuary_D,2024-07-11,198.3,1.76,27.8,28.4
Estuary_D,2024-08-08,176.4,1.62,29.1,25.7
Estuary_D,2024-09-05,214.7,1.88,26.2,30.3
Estuary_D,2024-10-03,298.4,2.31,20.4,41.2
Estuary_D,2024-11-07,367.9,2.61,14.3,49.6
Estuary_D,2024-12-05,421.3,2.92,9.7,55.8
HeadwaterSpring_E,2024-01-15,44.2,0.89,4.4,5.2
HeadwaterSpring_E,2024-02-19,49.8,0.94,3.9,5.8
HeadwaterSpring_E,2024-03-25,58.4,1.03,6.1,6.4
HeadwaterSpring_E,2024-04-22,74.1,1.21,9.8,7.9
HeadwaterSpring_E,2024-05-20,91.3,1.38,14.2,9.1
HeadwaterSpring_E,2024-06-17,68.7,1.16,18.9,7.4
HeadwaterSpring_E,2024-07-22,51.2,0.98,22.6,6.1
HeadwaterSpring_E,2024-08-19,41.8,0.88,24.1,5.4
HeadwaterSpring_E,2024-09-16,47.4,0.93,20.3,5.9
HeadwaterSpring_E,2024-10-14,56.9,1.02,15.7,6.7
HeadwaterSpring_E,2024-11-11,62.3,1.08,9.2,7.2
HeadwaterSpring_E,2024-12-09,47.1,0.93,5.1,5.6
